Epochs NN Accuracy time_train time_test
5 Net 90.36444677503933 184.64420199394226 187.4455018043518
5 NetExtraLinear 89.813843733613 128.65190529823303 131.60519289970398
10 Net 92.71106449921342 235.94105529785156 238.65346765518188
10 NetExtraLinear 10.448348190875722 249.5036506652832 252.89481568336487
15 Net 92.85527005768222 381.1299259662628 385.0502953529358
15 NetExtraLinear 93.0256948085999 378.3278601169586 381.1428039073944
5 Net 90.91504981646565 130.59977102279663 133.6054573059082
5 NetExtraLinear 89.2370214997378 127.45146298408508 130.2356026172638
10 Net 92.33088620870477 228.3537471294403 231.21042823791504
10 NetExtraLinear 91.92448872574725 232.9682605266571 236.00811743736267
15 Net 92.3046670162559 355.3957550525665 358.23483753204346
15 NetExtraLinear 92.06869428421605 356.4721164703369 359.3626892566681
5 Net 91.03303618248557 105.04020237922668 108.3052270412445
5 NetExtraLinear 10.448348190875722 125.10960721969604 127.88655400276184
10 Net 92.09491347666491 229.72549390792847 232.68613243103027
10 NetExtraLinear 92.06869428421605 232.25156044960022 235.4130983352661
15 Net 92.55374934452018 354.5473563671112 357.710729598999
15 NetExtraLinear 92.81594126900892 359.57049560546875 362.3384096622467
5 Net 91.8720503408495 106.13466358184814 109.38839936256409
5 NetExtraLinear 89.0534871525957 121.90971493721008 124.69884037971497
10 Net 93.19611955951757 230.111741065979 232.9603350162506
10 NetExtraLinear 91.46565285789198 230.49970936775208 233.5836570262909
15 Net 91.5836392239119 359.60923624038696 362.7384297847748
15 NetExtraLinear 91.79339276350288 358.06096625328064 361.0974564552307
5 Net 90.31200839014159 105.54203677177429 108.69504690170288
5 NetExtraLinear 10.448348190875722 121.87875437736511 124.60052013397217
10 Net 91.01992658626115 227.31708908081055 230.20466947555542
10 NetExtraLinear 91.57052962768746 233.92889308929443 237.12639927864075
15 Net 91.63607760880964 359.7086765766144 362.7756187915802
15 NetExtraLinear 93.7467226009439 363.8599143028259 366.8673961162567
5 Net 91.28211851074987 126.14074277877808 129.07544493675232
5 NetExtraLinear 10.448348190875722 105.9150140285492 109.13550114631653
10 Net 91.95070791819612 237.54951357841492 241.31761384010315
10 NetExtraLinear 91.85894074462506 238.43412351608276 241.55400037765503
15 Net 92.39643418982695 336.8094403743744 340.2308974266052
15 NetExtraLinear 92.52753015207132 345.98122668266296 348.9025490283966
20 Net 92.97325642370215 578.6213335990906 582.3609249591827
20 NetExtraLinear 92.82905086523336 526.3113980293274 529.0237789154053
25 Net 94.63817514420556 708.3315720558167 711.6491601467133
25 NetExtraLinear 95.07079181961196 746.9529230594635 750.3530941009521
25 Net 93.66806502359728 818.9359667301178 822.0149734020233
25 NetExtraLinear 93.40587309910855 735.106522321701 738.8575069904327
20 Net 92.7766124803356 603.2248454093933 607.2155666351318
20 NetExtraLinear 92.94703723125328 587.9616055488586 592.4130494594574
25 Net 92.39643418982695 738.1200861930847 742.9044392108917
25 NetExtraLinear 90.90194022024122 755.7874445915222 758.5607476234436
20 Net 92.23911903513371 568.0496299266815 571.7738156318665
20 NetExtraLinear 94.19244887257473 594.1041462421417 597.7750203609467
25 Net 94.00891452543262 806.8643910884857 811.6156458854675
25 NetExtraLinear 92.61929732564236 813.280170917511 816.7718756198883
20 Net 93.15679077084425 640.2911334037781 644.312518119812
20 NetExtraLinear 92.67173571054012 644.2381238937378 649.1912069320679
25 Net 93.46954229772497 802.99435515946173 806.01153953720134
25 NetExtraLinear 93.23785679453426 749.54316512322678 752.34583404245764
20 Net 92.52188947895548 593.78845894275613 597.47388166249905
20 NetExtraLinear 92.54017844742788 599.71980350894598 604.04340505144404
25 Net 93.89059090205974 805.21084910991893 810.26889918748819
25 NetExtraLinear 92.43698016859112 815.67499693693501 819.35988688760475
20 Net 93.21021944542464 652.05228713986081 656.36241532294845
20 NetExtraLinear 92.30371977483401 641.05866568368728 645.95172717006489
